shipment_id,delivery_date,region,vehicle_type,traffic_level,distance_km,shipment_volume,promised_time_hours,delivery_time_hours,transportation_cost,on_time,delayed
SHP10302,2026-06-27,East,Van,Medium,62.3,8.0,4.05,4.71,429.8,0,1
SHP10303,2026-03-28,West,Van,Low,242.2,14.0,8.24,8.53,919.76,0,1
SHP10304,2026-05-03,North,Van,Medium,232.4,18.0,8.45,10.52,989.04,0,1
SHP10305,2026-03-03,North,Van,Low,386.2,12.0,10.92,11.83,1224.88,0,1
SHP10306,2026-01-08,West,Truck,Medium,209.3,13.0,7.49,5.6,783.21,1,0
SHP10307,2026-01-24,North,Bike,High,174.5,5.0,5.99,6.81,521.14,0,1
SHP10308,2026-06-06,North,Van,Medium,288.5,5.0,8.27,9.16,820.69,0,1
SHP10309,2026-05-13,East,Truck,Medium,121.4,8.0,5.23,5.44,571.09,0,1
SHP10310,2026-03-07,East,Bike,High,64.6,17.0,4.99,7.2,543.73,0,1
SHP10311,2026-05-06,North,Bike,High,216.1,10.0,7.32,10.07,744.19,0,1
SHP10312,2026-01-01,South,Truck,Medium,188.8,7.0,6.48,7.7,579.4,0,1
SHP10313,2026-01-07,East,Van,High,106.2,15.0,5.62,7.12,702.51,0,1
SHP10314,2026-04-02,South,Truck,High,166.6,17.0,7.03,6.91,829.68,1,0
SHP10315,2026-04-23,South,Van,Medium,166.1,18.0,7.12,7.35,844.07,0,1
SHP10316,2026-06-18,North,Bike,Medium,148.7,6.0,5.57,6.48,598.69,0,1
SHP10317,2026-05-17,South,Van,Low,172.0,14.0,6.84,5.5,776.35,1,0
SHP10318,2026-02-16,West,Truck,Low,309.2,12.0,9.38,10.21,1005.25,0,1
SHP10319,2026-05-27,East,Van,Medium,135.0,9.0,5.6,7.08,571.63,0,1
SHP10320,2026-03-30,West,Van,Medium,427.1,8.0,11.34,12.59,1184.38,0,1
SHP10321,2026-05-29,North,Bike,Medium,412.5,3.0,10.55,8.16,1200.06,1,0
SHP10322,2026-02-01,North,Truck,Medium,217.4,6.0,6.95,6.15,731.3,1,0
SHP10323,2026-01-05,East,Van,Medium,149.1,11.0,6.08,8.71,625.15,0,1
SHP10324,2026-01-11,North,Bike,High,241.9,17.0,8.54,10.01,979.13,0,1
SHP10325,2026-06-28,East,Bike,Low,382.2,17.0,11.34,9.55,1221.35,1,0
SHP10326,2026-01-15,West,Van,Low,294.4,4.0,8.29,9.58,907.38,0,1
SHP10327,2026-06-19,South,Truck,Medium,362.4,13.0,10.55,11.63,1121.53,0,1
SHP10328,2026-05-11,East,Truck,High,240.7,2.0,7.01,10.0,708.09,0,1
SHP10329,2026-01-27,East,Truck,High,285.5,13.0,9.01,11.41,1030.07,0,1
SHP10330,2026-06-05,North,Van,High,131.1,7.0,5.32,7.46,551.73,0,1
SHP10331,2026-01-26,West,Van,High,331.2,9.0,9.52,12.04,1014.89,0,1
SHP10332,2026-01-26,North,Bike,Low,92.7,14.0,5.25,5.71,576.43,0,1
SHP10333,2026-04-14,West,Bike,Medium,313.3,9.0,9.17,12.55,968.72,0,1
SHP10334,2026-02-21,East,Bike,Low,387.6,16.0,11.35,12.8,1234.77,0,1
SHP10335,2026-02-22,North,Bike,Medium,61.2,11.0,4.32,2.94,432.41,1,0
SHP10336,2026-02-05,East,Bike,High,277.2,19.0,9.44,12.13,1138.42,0,1
SHP10337,2026-04-20,North,Bike,Low,44.6,13.0,4.19,5.01,447.24,0,1
SHP10338,2026-01-05,East,Bike,Medium,327.1,6.0,9.14,11.31,912.26,0,1
SHP10339,2026-02-14,West,Truck,Low,39.9,15.0,4.3,3.42,454.55,1,0
SHP10340,2026-04-10,West,Truck,Low,421.3,8.0,11.23,12.8,1240.38,0,1
SHP10341,2026-03-29,West,Van,Low,63.6,11.0,4.37,4.95,488.32,0,1
SHP10342,2026-05-06,South,Truck,Low,431.6,3.0,10.93,13.98,1148.73,0,1
SHP10343,2026-02-08,East,Van,High,,3.0,9.52,10.75,956.17,0,1
SHP10344,2026-04-27,South,Van,Medium,268.0,11.0,8.46,8.72,933.4,0,1
SHP10345,2026-05-17,West,Truck,High,352.6,4.0,9.45,11.18,938.76,0,1
SHP10346,2026-03-11,South,Van,Medium,358.2,19.0,11.06,11.7,1238.36,0,1
SHP10347,2026-02-16,West,Van,Low,425.8,17.0,12.22,11.72,1406.4,1,0
SHP10348,2026-04-10,South,Bike,Low,115.5,14.0,5.71,2.41,665.44,1,0
SHP10349,2026-04-15,East,Bike,High,266.4,14.0,8.73,10.32,913.89,0,1
SHP10350,2026-01-17,North,Van,Low,44.6,12.0,4.09,4.04,395.62,1,0
SHP10351,2026-04-12,East,Van,High,278.0,2.0,7.76,9.08,772.49,0,1
SHP10352,2026-01-28,North,Van,Low,,8.0,4.37,6.04,514.82,0,1
SHP10353,2026-04-13,North,Bike,Medium,,10.0,8.1,8.88,775.02,0,1
SHP10354,2026-06-17,South,Bike,High,258.4,18.0,8.97,12.52,1025.0,0,1
SHP10355,2026-04-07,South,Van,Low,210.8,5.0,6.72,6.77,611.84,0,1
SHP10356,2026-05-18,East,Bike,Low,236.1,10.0,7.72,8.56,790.88,0,1
SHP10357,2026-02-25,South,Van,High,344.2,7.0,9.58,12.0,986.84,0,1
SHP10358,2026-06-16,North,Van,Low,360.1,3.0,9.5,11.07,947.3,0,1
SHP10359,2026-05-27,South,Bike,Medium,222.5,2.0,6.65,7.25,621.48,0,1
SHP10360,2026-06-15,South,Van,Medium,270.6,7.0,8.11,9.4,841.64,0,1
SHP10361,2026-05-14,East,Van,Low,419.2,2.0,10.58,11.16,1054.15,0,1
SHP10362,2026-04-27,East,Van,Medium,55.6,2.0,3.31,3.16,212.51,1,0
SHP10363,2026-04-05,North,Truck,Medium,54.5,7.0,3.79,4.5,400.99,0,1
SHP10364,2026-06-17,East,Bike,Medium,41.3,4.0,3.23,5.86,316.74,0,1
SHP10365,2026-06-02,East,Bike,High,296.7,11.0,9.03,10.82,1008.68,0,1
SHP10366,2026-03-17,West,Van,Low,189.5,1.0,5.89,5.99,485.57,0,1
SHP10367,2026-01-16,East,Van,Low,348.9,6.0,9.58,11.06,1009.03,0,1
SHP10368,2026-01-01,West,Bike,Medium,302.7,9.0,8.95,11.06,978.36,0,1
SHP10369,2026-02-12,North,Van,High,151.5,19.0,6.93,8.86,748.9,0,1
SHP10370,2026-01-12,East,Bike,Low,404.5,13.0,11.39,9.13,1244.31,1,0
SHP10371,2026-02-08,North,Truck,Low,343.6,17.0,10.57,11.44,1176.69,0,1
SHP10372,2026-01-20,North,Van,Medium,123.2,7.0,5.16,3.14,599.94,1,0
SHP10373,2026-06-26,West,Bike,High,165.2,9.0,6.2,9.57,732.04,0,1
SHP10374,2026-01-18,South,Van,Low,142.9,8.0,5.66,5.52,503.48,1,0
SHP10375,2026-04-23,East,Van,Medium,72.6,17.0,5.15,6.75,697.95,0,1
SHP10376,2026-03-05,East,Truck,Medium,68.2,19.0,5.26,4.8,570.85,1,0
SHP10377,2026-02-01,East,Truck,Medium,421.4,19.0,12.33,11.94,1433.21,1,0
SHP10378,2026-05-07,North,Truck,Low,198.2,15.0,7.46,7.69,869.71,0,1
SHP10379,2026-06-24,North,Truck,Low,173.7,10.0,6.47,6.22,637.33,1,0
SHP10380,2026-05-23,North,Bike,Medium,328.9,11.0,9.68,10.09,1063.78,0,1
SHP10381,2026-06-25,West,Bike,Medium,249.7,19.0,8.89,9.92,1006.5,0,1
SHP10382,2026-04-17,North,Truck,High,421.4,6.0,11.03,16.33,1180.02,0,1
SHP10383,2026-05-02,East,Van,Medium,351.6,7.0,9.73,11.57,1029.9,0,1
SHP10384,2026-01-27,South,Bike,Medium,216.8,18.0,8.14,10.13,974.8,0,1
SHP10385,2026-06-03,North,Bike,High,170.6,8.0,6.21,8.88,642.71,0,1
SHP10386,2026-05-15,South,Van,Medium,444.0,5.0,11.38,14.09,1179.25,0,1
SHP10387,2026-02-15,North,Truck,Medium,323.6,11.0,9.57,10.3,1079.24,0,1
SHP10388,2026-03-05,North,Van,High,428.1,7.0,11.26,11.29,1213.94,0,1
SHP10389,2026-04-20,North,Van,Low,55.1,17.0,4.8,4.26,580.15,1,0
SHP10390,2026-01-03,West,Truck,Medium,383.0,18.0,11.46,13.56,1256.69,0,1
SHP10391,2026-05-28,East,Van,Medium,287.4,6.0,8.35,8.04,813.24,1,0
SHP10392,2026-02-20,West,Bike,Low,56.6,11.0,4.23,3.58,416.97,1,0
SHP10393,2026-01-14,South,Bike,Medium,265.5,19.0,9.21,9.42,1018.16,0,1
SHP10394,2026-03-01,North,Bike,Low,309.4,15.0,9.69,11.53,1106.06,0,1
SHP10395,2026-05-31,East,Van,Low,7.5,5.0,2.65,2.79,270.42,0,1
SHP10396,2026-02-19,West,Van,Medium,205.5,12.0,7.31,8.72,781.12,0,1
SHP10397,2026-04-08,East,Bike,Low,371.8,12.0,10.64,11.59,1218.35,0,1
SHP10398,2026-05-27,North,Bike,Medium,134.3,13.0,5.99,6.5,711.04,0,1
SHP10399,2026-01-07,South,Truck,High,207.4,1.0,6.25,8.15,605.23,0,1
SHP10400,2026-05-17,West,Bike,High,200.2,6.0,6.6,7.07,631.45,0,1
SHP10401,2026-02-21,East,Van,Low,137.3,17.0,6.45,3.89,798.95,1,0
SHP10402,2026-05-06,West,Bike,Low,413.5,5.0,10.77,11.15,1116.95,0,1
SHP10403,2026-02-03,East,Van,Low,352.0,6.0,9.64,10.1,1008.08,0,1
SHP10404,2026-01-26,North,Van,Low,51.5,7.0,3.73,4.51,344.02,0,1
SHP10405,2026-05-22,West,Truck,High,448.7,4.0,11.37,15.38,1139.1,0,1
SHP10406,2026-05-26,West,Van,Medium,395.9,3.0,10.22,12.88,978.89,0,1
SHP10407,2026-06-26,East,Van,Low,129.2,7.0,5.28,3.81,558.72,1,0
SHP10408,2026-05-02,West,Van,High,376.9,17.0,11.24,13.23,1219.93,0,1
SHP10409,2026-03-25,North,Van,Medium,49.7,1.0,3.09,3.75,385.02,0,1
SHP10410,2026-02-05,West,Bike,Low,449.6,6.0,11.59,14.7,1168.25,0,1
SHP10411,2026-02-23,North,Van,Low,300.2,2.0,8.2,9.74,759.86,0,1
SHP10412,2026-04-27,West,Truck,Medium,293.3,11.0,8.97,11.07,986.22,0,1
SHP10413,2026-03-04,North,Bike,Medium,42.5,5.0,3.35,3.12,372.32,1,0
SHP10414,2026-03-29,East,Van,Low,403.9,16.0,11.68,11.12,1299.49,1,0
SHP10415,2026-01-31,West,Van,High,15.0,12.0,3.5,5.84,394.75,0,1
SHP10416,2026-03-21,North,Bike,High,109.9,15.0,5.7,6.23,548.82,0,1
SHP10417,2026-02-12,North,Bike,High,66.1,13.0,4.62,5.97,468.93,0,1
SHP10418,2026-01-21,West,Truck,Low,350.0,9.0,9.9,9.93,1003.69,0,1
SHP10419,2026-01-24,North,Bike,Low,90.8,17.0,5.52,7.01,540.48,0,1
SHP10420,2026-04-04,East,Van,High,410.0,10.0,11.2,13.12,1207.26,0,1
SHP10421,2026-03-07,West,Van,Low,296.0,19.0,9.82,7.37,1012.27,1,0
SHP10422,2026-01-18,East,Bike,Medium,18.2,19.0,4.26,5.24,442.54,0,1
SHP10423,2026-04-03,South,Van,Medium,4.4,12.0,3.29,2.77,321.51,1,0
SHP10424,2026-01-30,South,Bike,Low,25.1,13.0,3.8,3.36,371.81,1,0
SHP10425,2026-01-03,East,Truck,Medium,273.5,5.0,7.97,8.58,829.54,0,1
SHP10426,2026-01-24,East,Bike,High,361.1,16.0,10.82,12.84,1216.17,0,1
SHP10427,2026-03-22,East,Truck,Medium,108.9,13.0,5.48,6.85,633.8,0,1
SHP10428,2026-06-21,North,Van,Medium,382.5,18.0,11.45,10.97,1319.36,1,0
SHP10429,2026-02-13,East,Van,High,27.6,6.0,3.15,3.96,340.06,0,1
SHP10430,2026-02-21,East,Van,Medium,360.8,15.0,10.72,12.57,1183.67,0,1
SHP10431,2026-02-13,East,Bike,Medium,417.7,9.0,11.25,11.69,1214.6,0,1
SHP10432,2026-03-05,North,Van,High,347.9,4.0,9.36,9.64,980.4,0,1
SHP10433,2026-05-10,East,Van,Medium,314.8,4.0,8.7,10.21,890.93,0,1
SHP10434,2026-02-27,East,Van,Low,377.4,11.0,10.65,12.14,1130.41,0,1
SHP10435,2026-04-29,North,Van,Low,20.0,7.0,3.1,2.43,275.04,1,0
SHP10436,2026-06-11,West,Bike,Low,92.4,2.0,4.05,1.34,322.49,1,0
SHP10437,2026-06-20,East,Van,Medium,58.0,9.0,4.06,5.15,428.57,0,1
SHP10438,2026-04-12,South,Bike,Medium,228.0,13.0,7.86,6.8,851.37,1,0
SHP10439,2026-05-09,East,Van,Medium,335.8,7.0,9.42,10.64,954.92,0,1
SHP10440,2026-06-15,East,Truck,Medium,284.2,19.0,9.58,9.62,1057.44,0,1
SHP10441,2026-05-22,East,Van,Medium,383.3,15.0,11.17,11.04,1178.79,1,0
SHP10442,2026-02-23,South,Van,High,71.5,10.0,4.43,5.5,501.35,0,1
SHP10443,2026-01-24,West,Bike,Low,331.1,18.0,10.42,10.52,1175.96,0,1
SHP10444,2026-01-21,West,Bike,Medium,88.5,9.0,4.67,4.34,437.87,1,0
SHP10445,2026-06-08,North,Bike,Medium,123.3,3.0,4.77,5.75,481.64,0,1
SHP10446,2026-04-11,East,Van,Medium,320.0,1.0,8.5,8.74,816.78,0,1
SHP10447,2026-02-23,North,Van,Low,441.1,18.0,12.62,14.24,1351.13,0,1
SHP10448,2026-03-04,South,Truck,Medium,276.0,19.0,9.42,10.72,1115.16,0,1
SHP10449,2026-02-20,West,Van,High,26.4,15.0,4.03,4.82,423.91,0,1
SHP10450,2026-05-25,North,Bike,Medium,278.1,2.0,7.76,7.47,749.42,1,0
SHP10451,2026-04-21,South,Truck,High,21.0,6.0,3.02,2.57,276.05,1,0
SHP10452,2026-06-08,North,Truck,High,398.1,1.0,10.06,12.49,1065.24,0,1
SHP10453,2026-02-24,East,Bike,Medium,319.9,1.0,8.5,8.84,842.68,0,1
SHP10454,2026-03-27,South,Bike,Medium,79.6,5.0,4.09,1.76,331.16,1,0
SHP10455,2026-01-22,East,Van,Medium,43.1,11.0,3.96,3.69,437.29,1,0
SHP10456,2026-06-24,West,Van,High,84.2,2.0,3.88,4.32,319.42,0,1
SHP10457,2026-04-03,East,Truck,Low,441.1,19.0,12.72,15.02,1517.38,0,1
SHP10458,2026-04-10,East,Truck,Medium,207.4,9.0,7.05,5.82,738.23,1,0
SHP10459,2026-03-16,North,Van,High,353.3,6.0,9.67,10.19,904.68,0,1
SHP10460,2026-02-18,North,Van,Low,287.1,10.0,8.74,10.0,947.7,0,1
SHP10461,2026-06-20,West,Bike,Medium,258.4,16.0,8.77,11.15,1063.99,0,1
SHP10462,2026-03-30,West,Bike,Medium,67.0,6.0,3.94,3.39,446.32,1,0
SHP10463,2026-05-02,East,Truck,High,425.8,1.0,10.62,12.09,1157.15,0,1
SHP10464,2026-01-07,South,Van,High,137.0,1.0,4.84,7.04,393.51,0,1
SHP10465,2026-02-19,North,Van,Low,261.0,17.0,8.92,6.48,1041.25,1,0
SHP10466,2026-05-25,West,Truck,Medium,315.5,3.0,8.61,7.32,835.61,1,0
SHP10467,2026-01-16,West,Van,Low,292.9,13.0,9.16,8.96,1008.47,1,0
SHP10468,2026-01-19,North,Truck,Medium,423.4,8.0,11.27,14.07,1138.2,0,1
SHP10469,2026-05-26,East,Truck,Medium,68.5,15.0,4.87,4.84,511.7,1,0
SHP10470,2026-02-25,East,Van,High,229.7,2.0,6.79,8.66,630.91,0,1
SHP10471,2026-02-19,South,Van,Low,183.0,18.0,7.46,8.67,887.03,0,1
SHP10472,2026-04-12,West,Van,Low,214.4,14.0,7.69,9.96,879.71,0,1
SHP10473,2026-02-05,North,Bike,Medium,55.4,9.0,4.01,3.68,416.34,1,0
SHP10474,2026-01-08,South,Truck,Medium,62.1,4.0,3.64,3.84,267.85,0,1
SHP10475,2026-01-01,North,Van,Medium,126.6,19.0,6.43,9.1,726.5,0,1
SHP10476,2026-01-15,East,Bike,Low,138.5,6.0,5.37,3.32,499.12,1,0
SHP10477,2026-01-29,East,Truck,Low,193.7,,6.87,7.83,765.28,0,1
SHP10478,2026-05-06,West,Truck,High,275.7,8.0,8.31,9.17,923.56,0,1
SHP10479,2026-02-23,East,Bike,Low,286.3,5.0,8.23,8.27,887.4,0,1
SHP10480,2026-01-13,North,Van,Medium,186.5,8.0,6.53,6.84,640.32,0,1
SHP10481,2026-01-03,South,Van,High,185.1,3.0,6.0,6.62,457.94,0,1
SHP10482,2026-03-27,North,Truck,Low,99.5,1.0,4.09,2.45,277.39,1,0
SHP10483,2026-06-01,East,Van,Medium,265.6,6.0,7.91,8.93,876.29,0,1
SHP10484,2026-03-02,East,Truck,Low,144.0,3.0,5.18,5.86,472.74,0,1
SHP10485,2026-01-12,West,Van,High,18.2,8.0,3.16,4.42,270.26,0,1
SHP10486,2026-02-11,South,Van,Medium,189.4,17.0,7.49,8.33,916.6,0,1
SHP10487,2026-03-31,South,Van,High,214.4,4.0,6.69,9.07,720.61,0,1
SHP10488,2026-02-03,North,Van,Low,103.1,1.0,4.16,2.54,365.92,1,0
SHP10489,2026-06-26,South,Van,Medium,258.5,3.0,7.47,8.92,729.5,0,1
SHP10490,2026-05-18,South,Van,Medium,255.5,10.0,8.11,9.78,856.16,0,1
SHP10491,2026-03-04,West,Bike,Low,316.5,6.0,8.93,11.82,934.52,0,1
SHP10492,2026-06-21,West,Van,Low,292.3,10.0,8.85,8.48,1015.06,1,0
SHP10493,2026-02-28,North,Van,Low,294.3,1.0,7.99,7.36,804.47,1,0
SHP10494,2026-01-26,South,Van,High,143.7,7.0,5.57,8.08,594.81,0,1
SHP10495,2026-06-18,East,Van,Medium,354.8,8.0,9.9,11.75,1097.18,0,1
SHP10496,2026-06-22,South,Van,Medium,248.0,9.0,7.86,8.0,774.96,0,1
SHP10497,2026-02-26,North,Truck,Medium,195.3,11.0,7.01,7.22,781.63,0,1
SHP10498,2026-04-18,West,Van,Medium,282.5,15.0,9.15,10.67,998.24,0,1
SHP10499,2026-02-01,East,Bike,Medium,163.6,9.0,6.17,5.81,528.7,1,0
SHP10500,2026-04-26,East,Bike,Medium,231.7,16.0,8.23,8.62,821.97,0,1
SHP10025,2026-01-24,South,Van,Low,350.7,16.0,10.61,11.45,1166.94,0,1
SHP10088,2026-03-15,East,Bike,Medium,208.9,19.0,8.08,11.03,907.16,0,1
SHP10157,2026-02-09,East,Truck,High,128.0,3.0,4.86,6.95,492.67,0,1
